,time,lead1,lead2,lead3
0,2022-02-11 12:16:18.074908,20000000,20000000,20000000
1,2022-02-11 12:16:18.183792,20000000,20000000,20000000
2,2022-02-11 12:16:18.297488,20000000,20000000,20000000
3,2022-02-11 12:16:18.416364,20000000,20000000,20000000
4,2022-02-11 12:16:18.526579,20000000,20000000,20000000
5,2022-02-11 12:16:18.636285,20000000,20000000,20000000
6,2022-02-11 12:16:18.745040,20000000,20000000,20000000
7,2022-02-11 12:16:18.861941,20000000,20000000,20000000
8,2022-02-11 12:16:18.973642,20000000,20000000,20000000
9,2022-02-11 12:16:19.089332,20000000,20000000,20000000
10,2022-02-11 12:16:19.202031,20000000,20000000,20000000
11,2022-02-11 12:16:19.312735,20000000,20000000,20000000
12,2022-02-11 12:16:19.434410,20000000,20000000,20000000
13,2022-02-11 12:16:19.544167,20000000,20000000,20000000
14,2022-02-11 12:16:19.674693,20000000,20000000,20000000
15,2022-02-11 12:16:19.805343,20000000,20000000,20000000
16,2022-02-11 12:16:19.953423,20000000,20000000,20000000
17,2022-02-11 12:16:20.076095,20000000,20000000,20000000
18,2022-02-11 12:16:20.185307,20000000,20000000,20000000
19,2022-02-11 12:16:20.307031,20000000,20000000,20000000
20,2022-02-11 12:16:20.418730,20000000,20000000,20000000
21,2022-02-11 12:16:20.532431,20000000,20000000,20000000
22,2022-02-11 12:16:20.642910,20000000,20000000,20000000
23,2022-02-11 12:16:20.759355,20000000,20000000,20000000
24,2022-02-11 12:16:20.875038,20000000,20000000,20000000
25,2022-02-11 12:16:20.983750,20000000,20000000,20000000
26,2022-02-11 12:16:21.093471,20000000,20000000,20000000
27,2022-02-11 12:16:21.207150,20000000,20000000,20000000
28,2022-02-11 12:16:21.324975,20000000,20000000,20000000
29,2022-02-11 12:16:21.448644,20000000,20000000,20000000
30,2022-02-11 12:16:21.561430,20000000,20000000,20000000
31,2022-02-11 12:16:21.686095,20000000,20000000,20000000
32,2022-02-11 12:16:21.810761,20000000,20000000,20000000
33,2022-02-11 12:16:21.927451,20000000,20000000,20000000
34,2022-02-11 12:16:22.035162,20000000,20000000,20000000
35,2022-02-11 12:16:22.158359,20000000,20000000,20000000
36,2022-02-11 12:16:22.284027,20000000,20000000,20000000
37,2022-02-11 12:16:22.407724,20000000,20000000,20000000
38,2022-02-11 12:16:22.519932,20000000,20000000,20000000
39,2022-02-11 12:16:22.630101,20000000,20000000,20000000
40,2022-02-11 12:16:22.747734,20000000,20000000,20000000
41,2022-02-11 12:16:22.862428,20000000,20000000,20000000
42,2022-02-11 12:16:22.974844,20000000,20000000,20000000
43,2022-02-11 12:16:23.098514,20000000,20000000,20000000
44,2022-02-11 12:16:23.213207,20000000,20000000,20000000
45,2022-02-11 12:16:23.332887,20000000,20000000,20000000
46,2022-02-11 12:16:23.449902,20000000,20000000,20000000
47,2022-02-11 12:16:23.566591,20000000,20000000,20000000
48,2022-02-11 12:16:23.686457,20000000,20000000,20000000
49,2022-02-11 12:16:23.796165,20000000,20000000,20000000
50,2022-02-11 12:16:23.903876,20000000,20000000,20000000
51,2022-02-11 12:16:24.031535,20000000,20000000,20000000
52,2022-02-11 12:16:24.143738,20000000,20000000,20000000
53,2022-02-11 12:16:24.266224,20000000,20000000,20000000
54,2022-02-11 12:16:24.376963,20000000,20000000,20000000
55,2022-02-11 12:16:24.496606,20000000,20000000,20000000
56,2022-02-11 12:16:24.609203,20000000,20000000,20000000
57,2022-02-11 12:16:24.725360,20000000,20000000,20000000
58,2022-02-11 12:16:24.837063,20000000,20000000,20000000
59,2022-02-11 12:16:24.948762,20000000,20000000,20000000
60,2022-02-11 12:16:25.098361,20000000,20000000,20000000
61,2022-02-11 12:16:25.231006,20000000,20000000,20000000
62,2022-02-11 12:16:25.345702,20000000,20000000,20000000
63,2022-02-11 12:16:25.462481,20000000,20000000,20000000
64,2022-02-11 12:16:25.574185,20000000,20000000,20000000
65,2022-02-11 12:16:25.683891,20000000,20000000,20000000
66,2022-02-11 12:16:25.807762,20000000,20000000,20000000
