3728,2457600,
13766400,15821056,2404352,
13811968,15822080,2293760,
13762560,15783680,2339072,
13819648,15874048,2363648,
13754624,15780608,2340608,
13818880,15886592,2386688,
13784064,15783424,2392832,
13817600,15887104,2369024,
13819648,15832320,2314240,
13801728,15856128,2408960,
13837568,15848960,2392064,
13784064,15816448,2315520,
14283520,15912192,2487808,
13821440,15827712,2402560,
13876992,15912448,2402560,
13807872,15847680,2406144,
13811456,16086016,2256640,
13815808,15907840,2321664,
13848064,15956480,2136320,
13920512,15873280,2314496,
13970176,15882496,2456576,
13920256,15840256,2385408,
13827328,15785216,2362368,
13831424,15853824,2196992,
13780224,15772160,2174464,
13841152,15854592,2233856,
13813760,15746048,2342144,
13870592,15834880,2354176,
13833728,15745280,2314496,
13828096,15848448,2352384,
13815040,15801088,2185472,
13828096,15818752,2329600,
13873152,15828992,2341632,
13834752,15797760,2371328,
13881600,15873536,2391552,
13807616,15781888,2319360,
13889792,15902976,2111232,
14087936,15776000,2441728,
13909760,15928320,2435072,
13865984,15796480,2370560,
13864192,15841280,2372608,
13865472,15820800,2250240,
13831424,15824640,2027008,
13912320,15822080,2267904,
13911296,15776256,2399744,
14016768,15868672,2404864,
13925376,15776512,2358784,
13870592,15836672,2110464,
13784832,15742976,2092288,
13865216,15843072,2332928,
13834496,15744512,2340864,
13831680,15819008,2323968,
13828608,15770880,2166784,
13790976,15782656,2043392,
13836288,15767552,2084864,
13833216,15629568,2157568,
13874176,15711488,2194176,
13818624,15640576,2126080,
13842432,15765504,2220288,
13809920,15692544,2247168,
13848064,15958272,2385408,
13768704,15812864,2133248,
13816320,15794944,2317056,
13819904,15641600,2162432,
14211328,15700736,2342912,
13869824,15728896,2195712,
13803776,15654656,2225152,
13858048,15750912,2225152,
13807104,15651328,2161408,
13842944,15751424,2244096,
13835264,15643904,2224384,
13925376,15764736,2272000,
13920512,15694336,2264576,
13878272,15709952,2260224,
13827840,15724288,2206976,
13754624,15673088,2181632,
13803776,15772672,2196224,
13761024,15659264,2200064,
13819648,15773440,2204672,
13757696,15608832,2184704,
13799424,15692800,2176256,
13794816,15619072,2174720,
13796864,15661312,2180608,
13839104,16013568,2401536,
13807360,15722240,2256640,
13790720,15514112,2058752,
13753344,15149568,1808128,
13835264,15070976,1678848,
13753856,14611968,1384704,
13804032,14477824,1188352,
13744384,13996288,844032,
13756416,13779968,578304,
14149888,13662976,568576,
13728512,13301248,120832,
13787648,13371392,55040,
13745408,13116672,16656128,
13777152,13075456,16557056,
13747456,12663296,16228096,
13834496,12979200,16342016,
13835520,12817408,16284928,
13914112,12397312,15948288,
13771008,12342528,15874816,
13797120,12825856,16122368,
13742080,12857344,16227840,
13806080,12663296,16044800,
13753856,12696320,16088832,
13831936,13132800,16280064,
13766144,13124352,16271616,
13826816,13203200,16330496,
13755136,13327360,16526592,
13807872,14038528,249856,
13787392,14053888,357632,
13793024,14211328,494336,
13854720,14406144,703232,
13765376,14351616,744448,
13840640,14711808,1017600,
13773568,14779648,1132288,
13942272,14699776,1089536,
13843456,14555392,962560,
13815808,14520832,927232,
13859072,14675968,1023488,
13791232,14647808,1041920,
13885184,14921728,1160192,
13821184,14870272,1215744,
13933824,15128576,1385728,
13932800,15162112,1468416,
13967104,15254016,1497088,
13865216,15067392,1351936,
13829632,14822144,1112832,
13860096,14738944,1001472,
13831680,14740992,994816,
