88,1384448,
8552960,14908672,969984,
8642304,14851072,1199360,
8617472,14832896,1189888,
8642560,14824704,1264640,
8654592,14873088,1285888,
8705024,14841088,1123840,
8741376,14908928,1224448,
8770048,14901504,1182976,
8711936,14849536,1289472,
8646144,14871296,1251328,
8625152,14888192,1163264,
8654080,14878976,1283328,
8627200,14909696,1221632,
8652288,14890240,1297664,
8659968,14910464,1328640,
8633856,14863360,1287424,
8640512,14911744,1374976,
8593920,14884096,1173248,
8598528,14950144,1108992,
8638720,14938112,1257216,
8646656,14885632,1340160,
8653312,14931968,1393408,
8568832,14904576,993792,
8691456,14904576,1299456,
9022720,14913536,1410048,
8674816,14889216,1189376,
8659968,14875136,1345536,
8674304,14843904,1337856,
8670720,14845696,1238784,
8712192,14810368,1247232,
8789248,14791168,1258496,
8798464,14856192,1241600,
8846336,14774016,1251072,
8882432,14822144,1377792,
8771072,14809856,1244416,
8684032,14797312,1163008,
8699648,14821888,1260032,
8774144,14792448,1239808,
8735232,14786816,1054208,
8707328,14732288,1264896,
8780032,14734592,1313536,
8736256,14804736,1078016,
8744192,14737152,1223168,
8761344,14786048,1284608,
8733184,14770688,1021696,
8782336,14790400,1274624,
8758784,14823680,1291008,
8702208,14784768,1055744,
8777216,14836224,1323776,
9160704,14859264,1367040,
8841216,14865664,1169408,
8820736,14844416,1337600,
8851456,14798848,1350400,
8820480,14816768,1140224,
8853504,14719744,1177600,
8904960,14687488,1252096,
8918016,14746880,1232896,
8980224,14753024,1288192,
8952832,14828288,1385984,
8864768,14799360,1261568,
8764672,14925824,1295616,
8775680,14868736,1253120,
8855296,14745856,1310976,
8837632,14775808,1357056,
8826368,14723584,1267968,
8865536,14802176,1316864,
8857344,14771456,1270528,
8863744,14763008,1313024,
8861696,14787584,1359872,
8858112,14753280,1287936,
8844800,14800640,1374720,
8814848,14767616,1307904,
8817664,14770176,1369088,
9178880,14834688,1497344,
8902144,14820864,1396736,
8852736,14825984,1402112,
8846848,14776064,1309440,
8858880,14794496,1424640,
8882432,14795776,1395456,
8901376,14788608,1388288,
8928512,14850560,1435392,
8973824,14845440,1435392,
8978944,14865920,1525760,
8855808,14813184,1443328,
8849664,14782720,1425920,
8824832,14835968,1434368,
8799744,14777856,1330688,
